step	mAP50(B)
22	0.67696
0	0.00096
23	0.68444
1	0.01013
24	0.70275
2	0.05586
25	0.7185
3	0.08826
26	0.72321
4	0.12956
27	0.72287
5	0.16367
28	0.73869
6	0.19226
29	0.7372
7	0.24347
30	0.74459
8	0.31439
31	0.75315
9	0.35306
32	0.7572
10	0.43031
33	0.76106
11	0.47364
34	0.76556
12	0.49485
35	0.76473
13	0.51505
36	0.76509
14	0.53794
37	0.76847
15	0.57123
38	0.77381
16	0.59977
39	0.78252
17	0.61632
40	0.78439
18	0.63173
41	0.78458
19	0.63718
42	0.78681
20	0.66619
43	0.78515
21	0.67637
44	0.79414
22	0.68646
45	0.78604
23	0.68614
46	0.79587
24	0.70071
47	0.80356
25	0.71391
48	0.80026
26	0.71317
49	0.80179
27	0.73063
50	0.80427
28	0.73866
51	0.81018
29	0.73949
52	0.81158
30	0.74615
53	0.8105
31	0.74475
54	0.81679
32	0.74589
55	0.81586
33	0.75905
56	0.8112
34	0.76314
57	0.82059
35	0.77576
58	0.82538
36	0.77428
59	0.82385
37	0.77012
60	0.81905
38	0.7779
61	0.8234
39	0.78419
62	0.82449
40	0.78323
63	0.82047
41	0.78823
64	0.82411
42	0.79131
65	0.82737
43	0.79308
66	0.82899
67	0.82681
44	0.79816
68	0.83046
45	0.7949
69	0.82717
46	0.79143
70	0.82967
47	0.80347
71	0.83183
48	0.8073
72	0.82658
49	0.80892
73	0.83436
50	0.8082
74	0.83262
51	0.80866
75	0.82975
52	0.80966
76	0.83121
53	0.81261
77	0.83174
54	0.81413
78	0.84041
55	0.81607
79	0.83581
56	0.81634
80	0.83314
57	0.81683
81	0.83616
82	0.83739
58	0.82073
83	0.83716
59	0.82373
84	0.837
60	0.81919
85	0.83792
61	0.81767
86	0.83893
62	0.81958
87	0.83931
63	0.8225
88	0.83855
64	0.82021
89	0.84207
65	0.82323
90	0.8414
66	0.82673
91	0.84225
67	0.82597
92	0.84348
68	0.82305
93	0.84138
69	0.82652
94	0.84028
70	0.82736
95	0.84334
71	0.82925
96	0.84434
97	0.8435
72	0.82959
98	0.8438
73	0.83308
99	0.84661
74	0.83179
100	0.84414
75	0.82963
101	0.84523
76	0.83344
102	0.84356
77	0.83358
103	0.84266
78	0.83096
104	0.84275
79	0.83381
105	0.84561
106	0.84429
80	0.83467
107	0.84634
81	0.83466
108	0.84611
82	0.83175
109	0.84518
83	0.83408
110	0.84688
84	0.83883
111	0.84142
85	0.83684
112	0.84589
86	0.8404
113	0.844
87	0.83763
114	0.84688
88	0.83713
115	0.84665
89	0.83923
116	0.8471
90	0.8382
117	0.84892
91	0.83903
118	0.84628
92	0.83973
119	0.84539
93	0.83775
120	0.85054
94	0.8427
121	0.84864
95	0.84335
122	0.84911
96	0.84545
123	0.84788
97	0.84528
124	0.84721
98	0.84326
125	0.84658
99	0.84025
126	0.84713
100	0.84338
127	0.84799
101	0.84339
128	0.84638
102	0.84382
103	0.84566
129	0.84567
104	0.84406
130	0.84642
105	0.84155
131	0.85056
106	0.84311
132	0.84606
107	0.84179
133	0.84918
108	0.84418
134	0.85074
109	0.84378
135	0.84878
136	0.84581
110	0.84225
137	0.85098
111	0.84173
138	0.85004
112	0.84304
139	0.8507
113	0.84125
140	0.84901
114	0.84377
141	0.85282
115	0.84492
142	0.84862
116	0.84768
143	0.84899
117	0.84521
144	0.85063
118	0.84632
145	0.84951
119	0.84551
146	0.84924
120	0.84589
147	0.84711
121	0.84429
148	0.85105
122	0.84357
149	0.84991
150	0.84925
123	0.84797
151	0.85004
124	0.84119
152	0.8507
125	0.84372
153	0.85115
126	0.84685
154	0.84913
127	0.84604
155	0.85012
128	0.84557
156	0.85259
129	0.84593
157	0.85179
130	0.84276
158	0.85072
131	0.84805
159	0.85079
132	0.84563
160	0.85147
133	0.84194
161	0.85262
134	0.84819
162	0.85092
135	0.8464
163	0.85184
136	0.84388
164	0.85029
165	0.85101
137	0.84592
166	0.85233
138	0.84552
167	0.84958
139	0.84606
168	0.84757
140	0.84035
169	0.85311
141	0.84754
170	0.85215
142	0.84838
171	0.85246
143	0.84461
172	0.85273
144	0.84716
173	0.84981
145	0.84613
174	0.85089
175	0.85185
146	0.84644
176	0.84955
147	0.84816
177	0.85278
148	0.84522
178	0.85049
149	0.8477
179	0.85126
150	0.84581
180	0.85262
151	0.84463
181	0.85054
152	0.84659
182	0.84947
153	0.85087
183	0.85286
154	0.84599
184	0.85013
155	0.84497
185	0.85356
156	0.84533
186	0.85186
157	0.849
187	0.85226
158	0.84485
188	0.85312
159	0.84757
189	0.85251
160	0.84866
190	0.85488
191	0.85208
161	0.84812
192	0.85455
