step	mAP50-95(B)
22	0.45763
0	0.00025
23	0.4733
1	0.00334
24	0.4887
2	0.02437
25	0.49802
3	0.04736
26	0.50128
4	0.07596
27	0.50869
5	0.09919
28	0.5209
6	0.11366
29	0.51538
7	0.14169
30	0.52761
8	0.18235
31	0.53936
9	0.21091
32	0.53901
10	0.26089
33	0.54492
11	0.29172
34	0.54824
12	0.31506
35	0.55118
13	0.32558
36	0.55389
14	0.35381
37	0.54917
15	0.37597
38	0.56007
16	0.39418
39	0.57097
17	0.4131
40	0.56722
18	0.4249
41	0.57311
19	0.43216
42	0.57732
20	0.45051
43	0.57033
21	0.46229
44	0.58203
22	0.46496
45	0.57446
23	0.47007
46	0.58134
24	0.49245
47	0.59251
25	0.49497
48	0.58757
26	0.4938
49	0.59307
27	0.51592
50	0.59355
28	0.5205
51	0.59753
29	0.52212
52	0.60422
30	0.53075
53	0.5965
31	0.52923
54	0.60496
32	0.53133
55	0.60644
33	0.53978
56	0.60258
34	0.54633
57	0.61106
35	0.55795
58	0.61418
36	0.55916
59	0.61295
37	0.55792
60	0.61281
38	0.55954
61	0.61376
39	0.56903
62	0.61573
40	0.56893
63	0.61237
41	0.57562
64	0.61986
42	0.57851
65	0.62193
43	0.58257
66	0.62056
67	0.62412
44	0.58318
68	0.62419
45	0.58168
69	0.62046
46	0.58341
70	0.62403
47	0.59399
71	0.62558
48	0.59613
72	0.62344
49	0.59607
73	0.62607
50	0.59561
74	0.62745
51	0.59792
75	0.62652
52	0.60155
76	0.63095
53	0.60129
77	0.62983
54	0.60243
78	0.63371
55	0.60773
79	0.63216
56	0.60429
80	0.63002
57	0.60965
81	0.63461
82	0.63128
58	0.61186
83	0.63497
59	0.61598
84	0.63413
60	0.6142
85	0.63566
61	0.61333
86	0.63725
62	0.61178
87	0.63779
63	0.61425
88	0.63865
64	0.61689
89	0.64035
65	0.62008
90	0.63582
66	0.62038
91	0.63966
67	0.62072
92	0.64439
68	0.61828
93	0.63881
69	0.62398
94	0.64105
70	0.62418
95	0.64147
71	0.62581
96	0.64176
97	0.64352
72	0.62524
98	0.64557
73	0.62626
99	0.64468
74	0.62905
100	0.64609
75	0.6272
101	0.64296
76	0.62866
102	0.64484
77	0.63005
103	0.64266
78	0.63072
104	0.64502
79	0.63052
105	0.64403
106	0.64403
80	0.62941
107	0.64837
81	0.63153
108	0.64849
82	0.63152
109	0.64819
83	0.63514
110	0.64856
84	0.63588
111	0.6451
85	0.63664
112	0.64981
86	0.63688
113	0.64915
87	0.63511
114	0.65154
88	0.63662
115	0.65043
89	0.64087
116	0.65086
90	0.64017
117	0.65083
91	0.6365
118	0.65143
92	0.63753
119	0.64837
93	0.63755
120	0.65071
94	0.64252
121	0.65159
95	0.64166
122	0.65149
96	0.6443
123	0.65081
97	0.64682
124	0.64963
98	0.6449
125	0.64922
99	0.64544
126	0.64959
100	0.64533
127	0.65256
101	0.64405
128	0.6492
102	0.64469
103	0.64622
129	0.6521
104	0.64759
130	0.65426
105	0.64653
131	0.6554
106	0.646
132	0.65265
107	0.64626
133	0.65505
108	0.646
134	0.65573
109	0.64469
135	0.65599
136	0.65487
110	0.64506
137	0.65762
111	0.64287
138	0.65696
112	0.64609
139	0.65478
113	0.6446
140	0.65584
114	0.64574
141	0.65871
115	0.64899
142	0.65438
116	0.64882
143	0.65579
117	0.64791
144	0.65738
118	0.64824
145	0.65679
119	0.64941
146	0.65626
120	0.65052
147	0.65398
121	0.65113
148	0.65754
122	0.64942
149	0.66162
150	0.65516
123	0.6497
151	0.6575
124	0.64646
152	0.6591
125	0.64887
153	0.65847
126	0.65252
154	0.65525
127	0.65339
155	0.65763
128	0.65127
156	0.65763
129	0.65092
157	0.65753
130	0.65161
158	0.6593
131	0.65556
159	0.65837
132	0.65356
160	0.6584
133	0.65058
161	0.65942
134	0.65501
162	0.66057
135	0.65433
163	0.65866
136	0.65222
164	0.65692
165	0.66022
137	0.6522
166	0.65973
138	0.6536
167	0.65706
139	0.65723
168	0.65834
140	0.65177
169	0.65859
141	0.65583
170	0.65934
142	0.6533
171	0.65833
143	0.65291
172	0.66048
144	0.65795
173	0.65973
145	0.65532
174	0.66057
175	0.66084
146	0.65725
176	0.6586
147	0.65911
177	0.66017
148	0.65467
178	0.66044
149	0.65778
179	0.66235
150	0.65422
180	0.66108
151	0.65522
181	0.65884
152	0.65337
182	0.66183
153	0.65716
183	0.66288
154	0.65343
184	0.65931
155	0.6535
185	0.66072
156	0.65517
