step	precision(B)
22	0.73758
0	0.00115
23	0.75066
1	0.78379
24	0.76245
2	0.84568
25	0.77801
3	0.88214
26	0.78876
4	0.91318
27	0.76405
5	0.92809
28	0.7803
6	0.79846
29	0.75779
7	0.57119
30	0.76129
8	0.37433
31	0.80685
9	0.40971
32	0.8224
10	0.53711
33	0.79237
11	0.53924
34	0.79629
12	0.57769
35	0.80421
13	0.57287
36	0.80361
14	0.62873
37	0.79111
15	0.64283
38	0.82064
16	0.61326
39	0.78491
17	0.67298
40	0.78839
18	0.67888
41	0.80111
19	0.68643
42	0.8543
20	0.72928
43	0.8325
21	0.71379
44	0.81375
22	0.72856
45	0.78095
23	0.73016
46	0.82596
24	0.73867
47	0.82094
25	0.75481
48	0.81062
26	0.76577
49	0.82367
27	0.75298
50	0.85739
28	0.76523
51	0.79271
29	0.77964
52	0.82654
30	0.78078
53	0.83386
31	0.78977
54	0.84829
32	0.77846
55	0.84254
33	0.78326
56	0.82075
34	0.79177
57	0.85236
35	0.82298
58	0.83081
36	0.82001
59	0.83862
37	0.78972
60	0.84831
38	0.79964
61	0.86265
39	0.81134
62	0.84895
40	0.82887
63	0.82936
41	0.80899
64	0.84031
42	0.82507
65	0.84353
43	0.83524
66	0.84478
67	0.85307
44	0.84877
68	0.83488
45	0.81636
69	0.85607
46	0.8356
70	0.86722
47	0.80571
71	0.8535
48	0.84129
72	0.85096
49	0.82806
73	0.86077
50	0.83638
74	0.84239
51	0.83238
75	0.84283
52	0.86234
76	0.83624
53	0.84845
77	0.84156
54	0.82165
78	0.8584
55	0.86325
79	0.85188
56	0.83887
80	0.87052
57	0.85616
81	0.85018
82	0.84712
58	0.84521
83	0.86023
59	0.87755
84	0.84291
60	0.84285
85	0.85032
61	0.84993
86	0.84739
62	0.84289
87	0.85356
63	0.86628
88	0.84396
64	0.85496
89	0.85068
65	0.84432
90	0.84161
66	0.8479
91	0.84706
67	0.85079
92	0.86857
68	0.84439
93	0.84133
69	0.85957
94	0.84353
70	0.84419
95	0.87717
71	0.8428
96	0.83807
97	0.86299
72	0.85323
98	0.86034
73	0.83431
99	0.85356
74	0.85358
100	0.83762
75	0.82476
101	0.85745
76	0.86762
102	0.85493
77	0.84802
103	0.86963
78	0.88103
104	0.8596
79	0.87279
105	0.87029
106	0.85212
80	0.85265
107	0.86712
81	0.8443
108	0.85775
82	0.85612
109	0.85043
83	0.83258
110	0.85719
84	0.8456
111	0.85052
85	0.83609
112	0.85216
86	0.85867
113	0.84985
87	0.83752
114	0.87612
88	0.87411
115	0.85972
89	0.83591
116	0.84257
90	0.82179
117	0.87896
91	0.86142
118	0.88609
92	0.86302
119	0.85752
93	0.83326
120	0.87822
94	0.8627
121	0.86892
95	0.82426
122	0.85277
96	0.85037
123	0.86751
97	0.84846
124	0.87131
98	0.8385
125	0.87156
99	0.8296
126	0.84291
100	0.82658
127	0.88037
101	0.85366
128	0.87021
102	0.84558
103	0.8618
129	0.86542
104	0.8596
130	0.85392
105	0.87736
131	0.86918
106	0.8417
132	0.85675
107	0.84969
133	0.84425
108	0.86789
134	0.87577
109	0.81742
135	0.85209
136	0.86874
110	0.82996
137	0.87154
111	0.85722
138	0.88811
112	0.83758
139	0.86405
113	0.86427
140	0.86185
114	0.85867
141	0.85512
115	0.86039
142	0.87898
116	0.85731
143	0.89512
117	0.84522
144	0.88285
118	0.85889
145	0.87439
119	0.83796
146	0.84994
120	0.85644
147	0.84691
121	0.84622
148	0.87003
122	0.84676
149	0.87503
150	0.8717
123	0.85422
151	0.88858
124	0.85366
152	0.83453
125	0.87386
153	0.85246
126	0.87081
154	0.88437
127	0.86594
155	0.87922
128	0.85935
156	0.88014
129	0.88273
157	0.85612
130	0.85602
158	0.86089
131	0.85883
159	0.85121
132	0.8524
160	0.87387
133	0.84887
161	0.86675
134	0.85776
162	0.86734
135	0.86433
163	0.86495
136	0.85938
164	0.8665
165	0.87772
137	0.83635
166	0.86856
138	0.8675
167	0.85967
139	0.85914
168	0.85617
140	0.82582
169	0.87383
141	0.84291
170	0.87375
142	0.8826
171	0.84135
143	0.83829
172	0.86124
144	0.86629
173	0.83828
145	0.84755
174	0.87301
175	0.87219
146	0.857
176	0.84465
147	0.86133
177	0.85653
148	0.86481
178	0.85718
149	0.87867
179	0.86041
150	0.82809
180	0.8763
151	0.87088
181	0.85049
152	0.87132
182	0.87866
153	0.88293
183	0.86472
154	0.87984
184	0.85316
155	0.83968
185	0.87095
156	0.82918
186	0.85524
157	0.83666
187	0.84412
158	0.83723
188	0.87596
159	0.85248
189	0.8608
160	0.84089
190	0.872
191	0.84633
161	0.8439
192	0.88915
162	0.86518
193	0.87059
163	0.84322
194	0.85648
164	0.86897
195	0.87389
165	0.85032
196	0.85727
166	0.82961
197	0.85973
167	0.86246
198	0.8493
168	0.8641
199	0.8702
169	0.8364
200	0.86021
170	0.86224
201	0.88434
171	0.85928
202	0.86918
203	0.85808
172	0.86955
204	0.85076
173	0.8598
205	0.87665
174	0.82955
206	0.86392
175	0.82586
207	0.87698
176	0.84454
208	0.83642
177	0.84899
209	0.87099
178	0.84497
210	0.85734
179	0.86402
211	0.86262
180	0.85485
212	0.86721
181	0.85859
213	0.86147
214	0.86479
182	0.83464
215	0.86471
183	0.87001
216	0.84705
184	0.82883
217	0.85981
185	0.83255
218	0.87865
186	0.87611
219	0.85569
187	0.83245
220	0.85293
188	0.85386
221	0.87273
189	0.8591
222	0.84692
190	0.85014
223	0.85832
224	0.86668
191	0.85787
225	0.8412
192	0.8519
226	0.87344
193	0.86922
227	0.85346
194	0.85138
228	0.85834
195	0.84999
229	0.85373
196	0.85265
230	0.87265
197	0.84725
231	0.85523
198	0.85631
232	0.85399
199	0.88772
233	0.85525
200	0.85497
234	0.84902
201	0.85606
235	0.86407
202	0.87382
236	0.88084
203	0.86556
237	0.865
204	0.85508
238	0.86767
239	0.8743
205	0.84963
240	0.85011
206	0.85699
241	0.866
207	0.85923
242	0.87171
208	0.85268
243	0.8558
209	0.87754
244	0.85419
210	0.87503
245	0.86895
211	0.84558
246	0.86209
212	0.86945
247	0.86134
213	0.84707
248	0.86073
249	0.86069
214	0.8168
250	0.89096
215	0.86064
251	0.86282
216	0.85478
252	0.85487
217	0.86637
253	0.86161
218	0.84395
254	0.85536
219	0.83936
255	0.83696
220	0.85268
256	0.85977
221	0.87296
257	0.87191
258	0.8309
222	0.85161
259	0.84562
223	0.87652
260	0.84687
224	0.83365
261	0.84777
225	0.86538
262	0.88176
226	0.86083
263	0.86564
227	0.84736
264	0.85847
228	0.83502
265	0.87352
229	0.87671
266	0.86274
230	0.86697
267	0.86753
268	0.8687
231	0.84446
269	0.85989
232	0.85067
270	0.86309
233	0.85957
271	0.85634
234	0.87863
272	0.86964
235	0.86076
273	0.85094
236	0.85562
274	0.85942
237	0.87278
275	0.85799
238	0.86173
276	0.84598
239	0.86517
277	0.85633
278	0.85222
240	0.83756
279	0.85859
241	0.83743
280	0.87581
242	0.88177
281	0.85478
243	0.85263
282	0.86588
244	0.84241
283	0.87273
245	0.84255
284	0.86209
246	0.85723
285	0.84775
286	0.84837
247	0.87727
287	0.84582
248	0.84631
288	0.86885
249	0.83198
289	0.86354
250	0.83729
290	0.87551
251	0.86624
291	0.85671
252	0.85477
292	0.86953
293	0.8743
253	0.86928
294	0.86511
254	0.86085
295	0.86963
255	0.84104
296	0.84762
256	0.86031
297	0.86663
257	0.87238
298	0.84357
258	0.84112
299	0.86309
259	0.82586
260	0.83974
261	0.87199
262	0.84621
263	0.86681
264	0.86959
265	0.85715
266	0.85517
267	0.87082
268	0.86621
269	0.86381
270	0.86572
271	0.8452
272	0.85974
273	0.84428
274	0.8555
275	0.85198
276	0.8441
277	0.8503
278	0.86674
279	0.8578
280	0.8635
281	0.85502
282	0.84121
283	0.84645
284	0.84079
285	0.83994
286	0.84441
287	0.85589
288	0.84785
289	0.8589
290	0.86989
291	0.87855
292	0.87318
293	0.86297
294	0.84445
295	0.85207
296	0.85037
297	0.85148
298	0.86174
299	0.84617
