step	recall(B)
22	0.60811
0	0.04999
23	0.61531
1	0.01975
24	0.62219
2	0.06044
25	0.6376
3	0.0811
26	0.63205
4	0.10923
27	0.64551
5	0.13425
28	0.66606
6	0.16525
29	0.67058
7	0.23021
30	0.67847
8	0.31277
31	0.65963
9	0.34903
32	0.66077
10	0.41292
33	0.68143
11	0.45777
34	0.68832
12	0.48044
35	0.68007
13	0.48821
36	0.68439
14	0.489
37	0.69551
15	0.52404
38	0.68413
16	0.56981
39	0.72193
17	0.56887
40	0.71589
18	0.58244
41	0.71031
19	0.58535
42	0.68457
20	0.60707
43	0.69312
21	0.63225
44	0.71652
22	0.62341
45	0.72591
23	0.62552
46	0.71002
24	0.63782
47	0.72537
25	0.64306
48	0.72199
26	0.63206
49	0.72412
27	0.66396
50	0.70276
28	0.68588
51	0.74609
29	0.66818
52	0.73286
30	0.66463
53	0.72284
31	0.6621
54	0.73248
32	0.66397
55	0.73034
33	0.68885
56	0.72894
34	0.68986
57	0.72437
35	0.67524
58	0.74776
36	0.68002
59	0.73974
37	0.69348
60	0.72684
38	0.70048
61	0.72578
39	0.6996
62	0.73761
40	0.6908
63	0.7381
41	0.7076
64	0.7375
42	0.70177
65	0.74437
43	0.6981
66	0.74108
67	0.74474
44	0.69826
68	0.74856
45	0.71037
69	0.73464
46	0.69205
70	0.7326
47	0.73352
71	0.7451
48	0.71727
72	0.73972
49	0.72525
73	0.74376
50	0.72047
74	0.75599
51	0.72616
75	0.7438
52	0.69586
76	0.75436
53	0.72038
77	0.74931
54	0.72656
78	0.75808
55	0.70681
79	0.75174
56	0.72679
80	0.73925
57	0.72398
81	0.74362
82	0.76308
58	0.7287
83	0.74973
59	0.72748
84	0.75786
60	0.73355
85	0.75886
61	0.72855
86	0.74648
62	0.73429
87	0.7515
63	0.72457
88	0.76804
64	0.71702
89	0.75342
65	0.73219
90	0.76306
66	0.72869
91	0.76153
67	0.73093
92	0.74015
68	0.7444
93	0.7593
69	0.72334
94	0.76557
70	0.73789
95	0.73631
71	0.7398
96	0.77213
97	0.7506
72	0.74269
98	0.75551
73	0.7543
99	0.7707
74	0.73621
100	0.75904
75	0.75556
101	0.75832
76	0.73472
102	0.75831
77	0.74096
103	0.75415
78	0.72215
104	0.75706
79	0.72401
105	0.74692
106	0.76598
80	0.73603
107	0.75791
81	0.74574
