step	box_loss
22	1.10841
0	4.4953
23	1.11399
1	3.98341
24	1.08695
2	3.52452
25	1.08666
3	2.7775
26	1.07022
4	2.28995
27	1.06806
5	1.98904
28	1.07028
6	1.85154
29	1.0546
7	1.73032
30	1.05157
8	1.64284
31	1.04445
9	1.56539
32	1.0201
10	1.47987
33	1.02842
11	1.41924
34	1.01799
12	1.35579
35	1.0191
13	1.29539
36	1.01245
14	1.28147
37	1.0067
15	1.24217
38	1.00267
16	1.22357
39	0.99288
17	1.19019
40	0.98284
18	1.17796
41	0.98736
19	1.1618
42	0.98099
20	1.13368
43	0.97277
21	1.12478
44	0.9832
22	1.1071
45	0.96899
23	1.10535
46	0.97797
24	1.08394
47	0.96662
25	1.08082
48	0.96029
26	1.06663
49	0.96038
27	1.06684
50	0.95778
28	1.06303
51	0.94709
29	1.05294
52	0.94751
30	1.04356
53	0.94773
31	1.04086
54	0.95341
32	1.01859
55	0.94958
33	1.02829
56	0.94869
34	1.0145
57	0.93276
35	1.01748
58	0.93517
36	1.00976
59	0.93532
37	1.00529
60	0.93025
38	1.00101
61	0.93222
39	0.99595
62	0.9284
40	0.9771
63	0.92039
41	0.98624
64	0.92109
42	0.98278
65	0.90798
43	0.96879
66	0.92306
67	0.90717
44	0.97764
68	0.91181
45	0.96868
69	0.90593
46	0.97429
70	0.91555
47	0.96643
71	0.91007
48	0.9554
72	0.91126
49	0.96124
73	0.90018
50	0.95688
74	0.90455
51	0.94323
75	0.89943
52	0.94895
76	0.90272
53	0.9466
77	0.89359
54	0.94814
78	0.88901
55	0.94433
79	0.88912
56	0.94561
80	0.89347
57	0.93017
81	0.88813
82	0.88767
58	0.92862
83	0.87665
59	0.93055
84	0.88592
60	0.93517
85	0.88659
61	0.93209
86	0.87908
62	0.92466
87	0.88957
63	0.92042
88	0.89008
64	0.92391
89	0.87621
65	0.90624
90	0.89112
66	0.91922
91	0.87337
67	0.91188
92	0.87698
68	0.913
93	0.87699
69	0.90797
94	0.8702
70	0.9116
95	0.86838
71	0.91159
96	0.86953
97	0.8557
72	0.90736
98	0.86639
73	0.89939
99	0.86569
74	0.90294
100	0.87341
75	0.89788
101	0.85935
76	0.89497
102	0.86467
77	0.8977
103	0.86252
78	0.88805
104	0.86432
79	0.89092
105	0.86555
106	0.85112
80	0.89538
107	0.86029
81	0.88744
108	0.85745
82	0.88258
109	0.86346
83	0.87283
110	0.85673
84	0.88342
111	0.8489
85	0.88496
112	0.84386
86	0.87554
113	0.85783
