step	cls_loss
22	0.8741
0	4.34649
23	0.8672
1	3.81532
24	0.84592
2	3.32263
25	0.84868
3	2.75441
26	0.8357
4	2.29602
27	0.81979
5	1.99531
28	0.81982
6	1.83617
29	0.81168
7	1.68356
30	0.802
8	1.53533
31	0.79171
9	1.41298
32	0.78232
10	1.3017
33	0.78319
11	1.21768
34	0.76726
12	1.14471
35	0.7707
13	1.10045
36	0.76201
14	1.05046
37	0.76381
15	1.0185
38	0.75279
16	0.99866
39	0.74622
17	0.95487
40	0.74362
18	0.94078
41	0.73508
19	0.9325
42	0.72728
20	0.8946
43	0.72761
21	0.88285
44	0.73091
22	0.87132
45	0.71781
23	0.85625
46	0.72054
24	0.84051
47	0.71649
25	0.83969
48	0.71248
26	0.82701
49	0.70632
27	0.82279
50	0.70655
28	0.81188
51	0.69806
29	0.81029
52	0.69342
30	0.79761
53	0.69666
31	0.79014
54	0.69814
32	0.78111
55	0.69584
33	0.78068
56	0.70018
34	0.76088
57	0.69204
35	0.77127
58	0.68696
36	0.7618
59	0.68111
37	0.75883
60	0.67404
38	0.75157
61	0.67882
39	0.74629
62	0.68156
40	0.73287
63	0.6764
41	0.73277
64	0.66755
42	0.73161
65	0.66202
43	0.72494
66	0.67133
67	0.66015
44	0.72732
68	0.66585
45	0.71316
69	0.66155
46	0.71672
70	0.66384
47	0.71647
71	0.66095
48	0.71163
72	0.66192
49	0.7078
73	0.65311
50	0.7057
74	0.65803
51	0.69683
75	0.65454
52	0.69542
76	0.65443
53	0.69337
77	0.64395
54	0.69493
78	0.64062
55	0.69161
79	0.63943
56	0.69324
80	0.64227
57	0.6907
81	0.6393
82	0.64194
58	0.67692
83	0.63208
59	0.67507
84	0.64058
60	0.67949
85	0.63463
61	0.68122
86	0.62907
62	0.67674
87	0.6333
63	0.67541
88	0.63529
64	0.6709
89	0.62898
65	0.66076
90	0.63763
66	0.67051
91	0.62576
67	0.66387
92	0.62848
68	0.6642
93	0.62681
69	0.66069
94	0.61595
70	0.65695
95	0.61832
71	0.66336
96	0.6234
97	0.61172
72	0.65862
98	0.61949
73	0.65374
99	0.61832
74	0.65373
100	0.62112
75	0.65052
101	0.60802
76	0.64813
102	0.61481
77	0.64479
103	0.60972
78	0.64264
104	0.61245
79	0.64233
105	0.60902
106	0.60371
80	0.64438
107	0.60647
81	0.63913
108	0.60504
82	0.63714
109	0.60726
83	0.6304
110	0.60422
84	0.63491
111	0.59779
85	0.6353
112	0.59257
86	0.6245
113	0.60033
87	0.63393
114	0.59283
88	0.6295
115	0.59454
89	0.62938
116	0.59634
90	0.63308
117	0.599
91	0.6295
118	0.60027
92	0.62992
119	0.59681
93	0.62329
120	0.59253
94	0.62022
121	0.59224
95	0.61605
122	0.5942
96	0.61999
123	0.58889
97	0.61204
124	0.58697
98	0.61393
125	0.57872
99	0.62414
126	0.582
100	0.62057
127	0.58908
101	0.61224
128	0.58263
102	0.60686
103	0.60901
129	0.57598
104	0.60441
130	0.58638
105	0.61265
131	0.57764
106	0.6051
132	0.57507
107	0.60336
133	0.57337
108	0.60287
134	0.57847
109	0.60719
135	0.57997
136	0.57581
110	0.60418
137	0.57874
111	0.59638
138	0.57136
112	0.59301
139	0.57374
113	0.59616
140	0.57329
114	0.59825
141	0.5758
115	0.58989
142	0.5649
116	0.58937
143	0.56566
117	0.59891
144	0.56445
118	0.6006
145	0.56703
119	0.59084
146	0.57057
120	0.59442
147	0.5653
121	0.58914
148	0.56357
122	0.59484
149	0.56325
150	0.56083
123	0.5905
151	0.56254
124	0.58368
152	0.56246
125	0.58016
