step	dfl_loss
22	1.08184
0	3.62662
23	1.08515
1	2.91021
24	1.07978
2	2.60166
25	1.07493
3	2.20166
26	1.07121
4	1.84225
27	1.06172
5	1.60742
28	1.06644
6	1.50493
29	1.05877
7	1.40622
30	1.05
8	1.35736
31	1.05739
9	1.3297
32	1.04425
10	1.26919
33	1.04859
11	1.23983
34	1.03883
12	1.20147
35	1.0454
13	1.19527
36	1.04124
14	1.16337
37	1.03114
15	1.14434
38	1.03231
16	1.14757
39	1.03186
17	1.12436
40	1.02119
18	1.11519
41	1.02237
19	1.11411
42	1.01778
20	1.09731
43	1.02271
21	1.08778
44	1.02454
22	1.08189
45	1.0172
23	1.08113
46	1.01473
24	1.07978
47	1.01451
25	1.07164
48	1.01314
26	1.06894
49	1.01426
27	1.06119
50	1.01075
28	1.06326
51	1.00881
29	1.05693
52	1.004
30	1.04747
53	1.01108
31	1.05709
54	1.01088
32	1.04358
55	1.00504
33	1.0493
56	1.00815
34	1.03682
57	1.00099
35	1.04629
58	0.99916
36	1.04048
59	0.99703
37	1.03073
60	0.99782
38	1.03186
61	1.00461
39	1.03294
62	1.00135
40	1.01896
63	0.99767
41	1.02224
64	0.99787
42	1.02068
65	0.99111
43	1.02098
66	0.99504
67	0.99007
44	1.02296
68	0.99562
45	1.01779
69	0.98879
46	1.01308
70	0.99254
47	1.01483
71	0.98935
48	1.01134
72	0.99288
49	1.01535
73	0.98575
50	1.01093
74	0.98447
51	1.00842
75	0.98659
52	1.00467
76	0.99309
53	1.0107
77	0.98597
54	1.00892
78	0.98038
55	1.00401
79	0.9821
56	1.00682
80	0.98093
57	0.99998
81	0.9815
82	0.98216
58	0.99768
83	0.97917
59	0.99554
84	0.98004
60	0.99946
85	0.98212
61	1.0045
86	0.97709
62	1.00027
87	0.98241
63	0.99715
88	0.97637
64	0.99951
89	0.97771
65	0.98977
90	0.97955
66	0.99337
91	0.97623
67	0.99299
92	0.97058
68	0.99669
93	0.97504
69	0.98919
94	0.9669
70	0.99125
95	0.97669
71	0.9898
96	0.97398
97	0.97327
72	0.99208
98	0.97152
73	0.98494
99	0.9715
74	0.98384
100	0.97212
75	0.98681
101	0.96743
76	0.98904
102	0.96866
77	0.98693
103	0.9696
78	0.97921
104	0.97081
79	0.98444
105	0.96756
106	0.96591
80	0.9817
107	0.97026
81	0.98107
108	0.95986
82	0.98063
109	0.96713
83	0.97831
110	0.96121
84	0.97887
111	0.96479
85	0.98129
112	0.96027
86	0.97549
113	0.97078
87	0.98287
114	0.96194
88	0.97502
115	0.96292
89	0.97932
116	0.96179
90	0.97729
117	0.96378
91	0.97774
118	0.96312
92	0.97204
119	0.96382
93	0.97402
120	0.96485
94	0.96687
121	0.95958
95	0.97605
122	0.96374
96	0.97304
123	0.96028
97	0.97341
124	0.95943
98	0.97248
125	0.9575
99	0.97392
126	0.95331
100	0.97197
127	0.96067
101	0.96976
128	0.95843
102	0.96409
103	0.96903
129	0.95376
104	0.96693
130	0.95795
105	0.96803
131	0.95412
106	0.96598
132	0.95614
107	0.96761
133	0.95413
108	0.96106
134	0.95519
109	0.96735
135	0.95389
136	0.9499
110	0.96133
137	0.95596
111	0.96253
138	0.9506
112	0.95952
139	0.95264
113	0.96959
140	0.95316
114	0.96322
141	0.95442
115	0.96076
142	0.94997
116	0.95986
143	0.95058
117	0.96379
144	0.94831
118	0.96365
145	0.94736
119	0.96189
146	0.95653
120	0.96562
147	0.94644
121	0.95955
148	0.94775
122	0.96458
149	0.94725
150	0.94844
123	0.96143
151	0.95273
124	0.95745
152	0.9503
125	0.9592
153	0.94539
126	0.95499
154	0.94822
127	0.96067
155	0.94882
128	0.95709
156	0.94288
129	0.95414
157	0.94608
130	0.95694
158	0.942
131	0.9553
159	0.94556
132	0.95772
160	0.94308
133	0.95452
161	0.94337
134	0.95407
162	0.94135
135	0.95081
163	0.94189
136	0.94981
164	0.94819
165	0.93894
137	0.95615
166	0.94298
138	0.95217
167	0.93747
139	0.95361
168	0.94589
140	0.95149
169	0.94282
141	0.95235
170	0.94553
142	0.95119
171	0.93797
143	0.9496
172	0.94558
144	0.94912
173	0.9411
145	0.94948
174	0.94085
175	0.94051
146	0.95647
176	0.94225
147	0.94382
177	0.93911
148	0.94891
178	0.94524
149	0.94732
179	0.93864
150	0.94779
180	0.93396
151	0.95191
181	0.93925
152	0.94904
182	0.93612
153	0.94196
183	0.93994
154	0.94849
184	0.9361
155	0.94836
185	0.93753
156	0.94183
186	0.93012
157	0.94561
187	0.93343
158	0.94226
188	0.93607
159	0.94689
189	0.93161
160	0.94192
190	0.93377
191	0.93246
161	0.94414
192	0.93364
162	0.94241
193	0.93314
163	0.9399
194	0.93737
164	0.94807
195	0.93329
165	0.94051
196	0.9362
166	0.94185
197	0.92679
167	0.93709
198	0.93301
168	0.94498
199	0.93304
169	0.94303
200	0.93709
170	0.94489
201	0.93473
171	0.93982
202	0.9331
203	0.92656
172	0.94557
204	0.92948
173	0.94164
205	0.93166
174	0.94011
206	0.92832
175	0.941
207	0.93253
176	0.94351
208	0.93109
177	0.93914
209	0.93253
178	0.9443
210	0.93142
179	0.93715
211	0.92994
180	0.93792
212	0.93231
181	0.93828
213	0.93162
214	0.93142
182	0.93426
215	0.92937
183	0.93785
216	0.92508
184	0.93477
217	0.92995
185	0.93695
218	0.9294
186	0.92903
219	0.92415
187	0.9349
220	0.92663
188	0.93597
221	0.92623
189	0.93197
222	0.92598
190	0.93475
223	0.92707
224	0.92434
191	0.93332
225	0.92593
192	0.93317
226	0.9264
193	0.9321
227	0.92498
194	0.93768
228	0.93061
195	0.93301
229	0.92133
196	0.93634
230	0.92041
197	0.92913
231	0.92387
198	0.93426
232	0.92617
199	0.9349
233	0.91645
200	0.93744
234	0.9198
201	0.93324
235	0.92312
202	0.93033
236	0.92292
203	0.92776
237	0.92352
204	0.93067
238	0.92119
239	0.92126
205	0.9313
240	0.9177
206	0.93039
241	0.92394
207	0.93202
242	0.9202
208	0.93202
243	0.91738
209	0.93017
244	0.91689
210	0.93304
245	0.9159
211	0.92785
246	0.92304
212	0.93193
247	0.91812
213	0.92897
248	0.91818
249	0.91994
214	0.92668
250	0.91735
215	0.93027
251	0.92239
216	0.92665
252	0.92337
217	0.93036
253	0.92029
218	0.92801
254	0.91787
219	0.92329
255	0.91866
220	0.92658
256	0.91795
221	0.92558
257	0.91429
258	0.9131
222	0.92682
259	0.91431
223	0.92538
260	0.91249
224	0.92508
261	0.91229
225	0.92522
262	0.9145
226	0.92696
263	0.91609
227	0.92653
264	0.91421
228	0.92955
265	0.91555
229	0.92135
266	0.9128
230	0.92074
267	0.91355
268	0.91154
231	0.92388
269	0.91271
232	0.92597
270	0.91313
233	0.91496
271	0.91171
234	0.92096
272	0.90953
235	0.92287
273	0.9078
236	0.92321
274	0.91027
237	0.92306
275	0.91151
238	0.92056
276	0.91273
239	0.92085
277	0.91037
278	0.91017
240	0.91983
279	0.91061
241	0.92191
280	0.90769
242	0.9189
281	0.90675
243	0.91962
282	0.90868
244	0.9182
283	0.9086
245	0.91691
284	0.90683
246	0.92037
285	0.90718
286	0.90886
247	0.91705
287	0.90519
248	0.91812
288	0.9081
249	0.92
289	0.90306
250	0.91651
290	0.89373
251	0.92204
291	0.89439
252	0.91862
292	0.89495
293	0.89294
253	0.91746
294	0.89151
254	0.91736
295	0.89386
255	0.91905
296	0.8916
256	0.91579
297	0.89259
257	0.91354
298	0.89392
258	0.91114
299	0.89242
259	0.91497
260	0.91254
261	0.9134
262	0.91372
263	0.91578
264	0.91273
265	0.91584
266	0.91064
267	0.91447
268	0.91195
269	0.91196
270	0.91135
271	0.90996
272	0.91072
273	0.90633
274	0.91147
275	0.91207
276	0.90993
277	0.9096
278	0.90957
279	0.91062
280	0.90775
281	0.90472
282	0.90928
283	0.90749
284	0.90867
285	0.90622
286	0.90924
287	0.90431
288	0.90445
289	0.90254
290	0.89507
291	0.89404
292	0.89418
293	0.89483
294	0.89023
295	0.89302
296	0.89042
297	0.89007
298	0.89119
299	0.89299
